invoice_number,status,invoice_date,submission_date,po_load,customer,customer_raw,age,invoice_amount,funded,reserves,reserves_excel,released_reserves,fees,carrier,carrier_invoice,carrier_pay,source_sheet,released,release_date,release_amount,release_source
36135,Funded,2025-11-17,2025-11-17,REF#448385-PO#INV128690,Rentex,"RENTEX, INC/ HQ",40.0,1150.0,392.5,57.5,37.375,37.375,20.125,ECOMM TRANSIT LLC,36135,700.0,2025 Invoice List,true,,57.5,triumph
36404,Funded,2025-11-17,2025-11-17,REF#469368PO#INV129835,Rentex,"RENTEX, INC/ HQ",40.0,1385.0,215.75,69.25,45.0125,45.0125,24.2375,HLT FLEET LLC,36404,1100.0,2025 Invoice List,true,,69.25,triumph
35847,Funded,2025-11-17,2025-11-17,REF#463463 / PO#INV127909,Rentex,"RENTEX, INC/ HQ",40.0,1000.0,150.0,50.0,32.5,32.5,17.5,HLT FLEET LLC,35847,800.0,2025 Invoice List,true,,50.0,triumph
36107,Funded,2025-11-17,2025-11-17,REF#TRANS NASH-CHI-PO#INV128624,Rentex,"RENTEX, INC/ HQ",40.0,1625.0,593.75,81.25,52.8125,52.8125,28.4375,JOHAL CARRIER INC,36107,950.0,2025 Invoice List,true,,81.25,triumph
36036,Funded,2025-11-17,2025-11-17,REF#460824-PO#INV128552,Rentex,"RENTEX, INC/ HQ",40.0,1225.0,163.75,61.25,39.8125,39.8125,21.4375,A NEW BEGINNING VENTURES INC,36036,1000.0,2025 Invoice List,true,,61.25,triumph
36184,Funded,2025-11-14,2025-11-14,REF#464447-PO#INV128868,Rentex,"RENTEX, INC/ HQ",43.0,600.0,285.0,30.0,19.5,19.5,10.5,EML TRANSPORTATION INC,36184,285.0,2025 Invoice List,true,,30.0,triumph
36234,Funded,2025-11-14,2025-11-14,REF# 464323 & 466838PO#INV129149,Rentex,"RENTEX, INC/ HQ",43.0,775.0,183.75,38.75,25.1875,25.1875,13.5625,VIRTUAL PRECISION RESPONSE LLC,36234,552.5,2025 Invoice List,true,,38.75,triumph
36041,Funded,2025-11-14,2025-11-14,REF#460824PO#INV128552,Rentex,"RENTEX, INC/ HQ",43.0,1500.0,625.0,75.0,48.75,48.75,26.25,ROAD LIFE  LLC,36041,800.0,2025 Invoice List,true,,75.0,triumph
36241,Funded,2025-11-14,2025-11-14,PO#INV129199,Rentex,"RENTEX, INC/ HQ",43.0,500.0,195.0,25.0,16.25,16.25,8.75,Ruling LLC,36241,280.0,2025 Invoice List,true,,25.0,triumph
35924,Funded,2025-11-14,2025-11-14,REF#459820 - PO#INV128190,Rentex,"RENTEX, INC/ HQ",43.0,925.0,278.75,46.25,30.0625,30.0625,16.1875,ECOMM TRANSIT LLC,35924,600.0,2025 Invoice List,true,,46.25,triumph
35846,Funded,2025-11-14,2025-11-14,REF#463463 / PO#INV127909,Rentex,"RENTEX, INC/ HQ",43.0,1000.0,200.0,50.0,32.5,32.5,17.5,DOCK TO DOCK LLC,35846,750.0,2025 Invoice List,true,,50.0,triumph
35733,Funded,2025-11-14,2025-11-14,REF#444351-PO#INV127553,Rentex,"RENTEX, INC/ HQ",43.0,750.0,312.5,37.5,24.375,24.375,13.125,GALLO EXPRESS LLC,35733,400.0,2025 Invoice List,true,,37.5,triumph
35567,Funded,2025-11-14,2025-11-14,384083,Ironclad Environmental,IRONCLAD ENVIRONMENTAL SOLUTIONS LLC,43.0,2175.0,316.25,108.75,70.6875,70.6875,38.0625,SUNSET TRUCKING INC,35567,1750.0,2025 Invoice List,true,,108.75,triumph
35747,Funded,2025-11-14,2025-11-14,PO 384882,Ironclad Environmental,IRONCLAD ENVIRONMENTAL SOLUTIONS LLC,43.0,1450.0,177.5,72.5,47.125,47.125,25.375,DESERT EAGLE TRANSPORTATION LLC,35747,1200.0,2025 Invoice List,true,,72.5,triumph
